"Notes","UCD - Drug/Alcohol Induced Cause","UCD - Drug/Alcohol Induced Cause Code","Sex","Sex Code","Race","Race Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","1999","1999","35-44 years","35-44",20,226197,8.8
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2000","2000","35-44 years","35-44",19,236235,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2001","2001","25-34 years","25-34",13,224905,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2001","2001","35-44 years","35-44",15,242881,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2001","2001","45-54 years","45-54",12,186923,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2002","2002","25-34 years","25-34",11,232012,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2002","2002","35-44 years","35-44",28,247353,11.3
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2002","2002","45-54 years","45-54",13,195957,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2003","2003","25-34 years","25-34",19,239569,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2003","2003","35-44 years","35-44",34,251650,13.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2003","2003","45-54 years","45-54",14,205538,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2004","2004","25-34 years","25-34",22,248019,8.9
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2004","2004","35-44 years","35-44",26,255991,10.2
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2004","2004","45-54 years","45-54",21,215534,9.7
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2005","2005","25-34 years","25-34",19,257361,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2005","2005","35-44 years","35-44",33,260491,12.7
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2005","2005","45-54 years","45-54",27,226335,11.9
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2006","2006","25-34 years","25-34",12,267587,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2006","2006","35-44 years","35-44",30,265808,11.3
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2006","2006","45-54 years","45-54",35,236827,14.8
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2007","2007","15-24 years","15-24",11,340811,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2007","2007","25-34 years","25-34",21,278887,7.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2007","2007","35-44 years","35-44",30,270787,11.1
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2007","2007","45-54 years","45-54",45,246933,18.2
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2007","2007","55-64 years","55-64",19,150993,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2008","2008","25-34 years","25-34",27,291926,9.2
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2008","2008","35-44 years","35-44",29,275372,10.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2008","2008","45-54 years","45-54",39,256685,15.2
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2008","2008","55-64 years","55-64",12,160156,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2009","2009","15-24 years","15-24",14,358886,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2009","2009","25-34 years","25-34",33,305210,10.8
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2009","2009","35-44 years","35-44",45,278857,16.1
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2009","2009","45-54 years","45-54",40,266667,15.0
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2010","2010","25-34 years","25-34",36,315523,11.4
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2010","2010","35-44 years","35-44",35,282307,12.4
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2010","2010","45-54 years","45-54",42,273464,15.4
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2010","2010","55-64 years","55-64",17,178582,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2011","2011","15-24 years","15-24",17,368172,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2011","2011","25-34 years","25-34",37,321417,11.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2011","2011","35-44 years","35-44",43,283174,15.2
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2011","2011","45-54 years","45-54",45,276312,16.3
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2011","2011","55-64 years","55-64",21,192307,10.9
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2012","2012","15-24 years","15-24",13,371232,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2012","2012","25-34 years","25-34",52,324867,16.0
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2012","2012","35-44 years","35-44",53,285449,18.6
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2012","2012","45-54 years","45-54",60,276700,21.7
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2012","2012","55-64 years","55-64",29,200285,14.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2013","2013","15-24 years","15-24",10,373703,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2013","2013","25-34 years","25-34",39,329279,11.8
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2013","2013","35-44 years","35-44",50,287786,17.4
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2013","2013","45-54 years","45-54",57,276505,20.6
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2013","2013","55-64 years","55-64",30,208893,14.4
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2014","2014","15-24 years","15-24",17,375735,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2014","2014","25-34 years","25-34",40,335295,11.9
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2014","2014","35-44 years","35-44",54,291074,18.6
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2014","2014","45-54 years","45-54",47,277173,17.0
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2014","2014","55-64 years","55-64",27,217910,12.4
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2015","2015","15-24 years","15-24",13,375603,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2015","2015","25-34 years","25-34",46,339972,13.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2015","2015","35-44 years","35-44",47,294511,16.0
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2015","2015","45-54 years","45-54",66,277510,23.8
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2015","2015","55-64 years","55-64",30,226940,13.2
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2016","2016","15-24 years","15-24",16,374352,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2016","2016","25-34 years","25-34",59,346167,17.0
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2016","2016","35-44 years","35-44",55,297098,18.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2016","2016","45-54 years","45-54",61,277646,22.0
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2016","2016","55-64 years","55-64",34,235033,14.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2017","2017","15-24 years","15-24",20,372983,5.4
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2017","2017","25-34 years","25-34",62,353542,17.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2017","2017","35-44 years","35-44",59,301182,19.6
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2017","2017","45-54 years","45-54",63,277424,22.7
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2017","2017","55-64 years","55-64",29,242608,12.0
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2018","2018","15-24 years","15-24",13,371543,Unreliable
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2018","2018","25-34 years","25-34",52,358877,14.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2018","2018","35-44 years","35-44",75,305658,24.5
,"Drug poisonings (overdose) Unintentional (X40-X44)","D1","Female","F","American Indian or Alaska Native","1002-5","2018","2018","45-54 years","45-54",67,276500,24.2
